usuario;fecha;texto;rating
sofia452;19/06/2026;  Muy recomendada, la función de backup es justo lo que necesitaba. Me encanta FlowApp, sobre todo la app en tablet, la uso todos los días ??  ;5
sofia843;8/06/2026;Increible experiencia de principio a fin, sin ningún problema;5
gabriel164;26/06/2026;BIEN;4
sofia932;7/07/2026;Excelente la interfaz, funciona perfecto y sin fallas. Excelente los anuncios, funciona perfecto y sin fallas!;5
camila940;26/06/2026;Perfecta, no le cambiaría nada, el soporte al cliente funciona genial ??;5
nicolas254;22/06/2026;  MUY RECOMENDADA, LA INTERFAZ ES JUSTO LO QUE NECESITABA  ;5
juan911;1/07/2026;Muy buena app, aunque el buscador interno podría mejorar un poco! ??;4
renata88;10/07/2026;  Excelente los anuncios, funciona perfecto y sin fallas. Excelente la velocidad de carga, funciona perfecto y sin fallas  ;5
camila230;25/05/2026;Perfecta, no le cambiaria nada, la funcion de backup funciona genial. Simplemente la mejor, las actualizaciones nunca me fallo!;5
luciana472;22/05/2026;Cumple lo que promete, el modo oscuro anda bien la mayoría del tiempo;4
fernanda590;5/06/2026;BASTANTE  CONFORME, EL LOGIN ES SOLIDO AUNQUE NO PERFECTO ??;4
juan226;20/06/2026;Muy buena app, aunque el widget de inicio podría mejorar un poco. Me gusta bastante, la interfaz funciona bien casi siempre ??;4
alejandro506;16/06/2026;  Excelente las notificaciones, funciona perfecto y sin fallas!!!  ;5
gabriel197;3/06/2026;  NO ME CONVENCIO, EL BUSCADOR INTERNO FALLA SEGUIDO  ;2
renata192;22/06/2026;Bastante conforme, la batería es ssólido aunque no perfecto!;4
valeria875;7/05/2026;Muy buena app, , aunque la velocidad de carga podría mejorar un poco ??;4
carolina765;27/06/2026;No me convencio, el modo oscuro falla seguido ??;2
paula312;10/05/2026;Muy buena;4
martin827;5/05/2026;Contento con la app ?? ??;4
camila846;2/06/2026;Bien;4
paula471;9/06/2026;  Excelente LA velocidad de carga, funciona perfecto y sin fallas...  ;
juan808;4/07/2026;Cumple lo que promete, el buscador interno anda bien la mayoría del tiempo?? ??;4
camila179;5/06/2026;Ni fu ni fa, , esperaba más de el widget de inicio;3
andres245;6/05/2026;INCREÍBLE EXPERIENCIA DE PRINCIPIO A FIN, SIN NINGÚN PROBLEMA ??!!!;5
gabriel290;14/05/2026;Perfecta, no le cambiaria naada, la bateria funciona genial ??;5
diego159;8/05/2026;Me encanta FlowApp, sobre todo las notificaciones, la uso todos los días. Simplemente la mejor, la velocidad de carga nunca me falló;5
diego427;3/05/2026;Increíble EXPERIENCIA de principio a fin, sin ningún problema;5
sofia569;29/06/2026;  ME ENCANTA FLOWAPP, SOBRE TODO LAS NOTIFICACIONES, LA USO TODOS LOS DÍAS!  ;5
carolina368;26/05/2026;Recomendada, , aunque esperaba un poco más de el modo oscuro...;4
alejandro538;5/07/2026;;4
valeria229;1/05/2026;Ni fu ni fa!!;3
fernanda144;26/06/2026;Bien ??;4
andres833;16/06/2026;  Es una app promedio, los anuncios funciona a veces y a veces no  ;3
juan994;8/06/2026;Diez de diez, el precio de la suscripcion supero mis expectativas totalmente;5
camila355;23/06/2026;10-oct;5
diego191;9/05/2026;  Pesima experiencia, el soporte al cliente no funciona para nada. No la recomiendo, perdi tiempo y dinero por las alertas push!  ;1
camila953;14/05/2026;;5
alejandro520;1/06/2026;  Buena experiencia en general, solo tuve un problemita con el soporte al cliente ??   ??;4
luciana151;3/05/2026;Buena experiencia en general, solo tuve un problemita con las alertas push!!;4
renata996;13/06/2026;Diez de diez, , las alertas push superó mis expectativas totalmente. Increíble experiencia de principio a fin, , sin ningún problema;5
camila463;26/06/2026;  INCREÍBLE EXPERIENCIA DE PRINCIPIO A FIN, SIN NINGÚN PROBLEMA ??...  ;5
paula153;8/07/2026;Simplemente la mejor, el modo oscuro nunca me fallo. Excelente el precio de la suscripcion, funciona perfecto y sin fallas.;5
camila683;7/05/2026;Cumple lo BÁSICO nada más, , la app en tablet necesita trabajo. Está bien pero la sincronización le falta pulir;-1
mateo553;4/05/2026;  ME ENCANTA FLOWAPP, SOBRE TODO LA FUNCION DE BACKUP, LA USO TODOS LOS DIAS. INCREIBLE EXPERIENCIA DE PRINCIPIO A FIN, SIN NINGUN PROBLEMA!  ;5
mateo874;28/06/2026;Me gusta bastante, las alertas push funciona BIEN cassi siempre;4
sofia782;21/05/2026;;5
diego744;4/06/2026;  MUY BUENA!!  ;4
